movies,score
Thulluvadho Ilamai,6
Kaadhal Kondein,7
Thiruda Thirudi,6
Pudhukottaiyilirundhu Saravanan,6
Sullan,6
Dreams,5
Devathaiyai Kanden,7
Adhu Oru Kana Kaalam,7
Pudhupettai,9
Thiruvilaiyaadal Aarambam,8
Parattai Engira Azhagu Sundaram,7
Polladhavan,8
Yaaradi Nee Mohini,6
Padikkadavan,6
Kutty,8
Uthamaputhiran,7
Aadukalam,9
Seedan,4
Mappillai,6
Venghai,7
Mayakkam Enna,7
3,8
Raanjhanaa,6
Maryan,7
Naiyaandi,5
Velaiilla Pattadhari,9
Shamitabh,8
Anegan,8
Vai Raja Vai,7
Maari,7
Thanga Magan,7
Thodari,5
Kodi,7
Pa Paandi,8
Velaiilla Pattadhari 2,5
The Extraordinary Journey of the Fakir,7
Vada Chennai,8
Maari 2,6
Asuran,9
Enai Noki Paayum Thota,6
Pattas,7
Karnan,9
